id,depair,destair,indepartcode,inarrivecode,outflightno,outdepartdate,outdeparttime,outarrivaldate,outarrivaltime,outbookingclass,outflightclass,outcarriercode,inflightno,indepartdate,indeparttime,inarrivaldate,inarrivaltime,inbookingclass,inflightclass,incarriercode,originalprice,originalcurrency,reservation,carrier,oneway
1792211,LHR,DXB,DEL,LHR,BA109,2018-01-01,21:40:00,2018-01-02,08:35:00,,Economy,BA,BA256,2018-01-20,11:05:00,2018-01-20,15:10:00,,Economy,BA,1018.140,GBP,VX93UK,"British Airways",0
1803064,GLA,AUH,DEL,GLA,BA1477,2018-01-01,08:55:00,2018-01-02,00:35:00,,Economy,BA,BA256,2018-01-20,11:05:00,2018-01-20,18:30:00,,Economy,BA,514.090,GBP,K3BDWJ,"British Airways",0
1665683,SYD,HKG,HKG,LHR,CX162,2018-01-01,11:25:00,2018-01-01,17:50:00,,Economy,CX,CX253,2018-01-05,15:05:00,2018-01-05,20:15:00,,Economy,CX,2567.240,AUD,WW6VWU,"Cathay Pacific",0
1672415,SYD,LHR,,,CX162,2018-01-01,11:25:00,2018-01-02,20:15:00,,Economy,CX,,,00:00:00,,00:00:00,,,,2570.240,AUD,MX5JVX,"Cathay Pacific",1
1632850,BCN,LGW,,,D85500,2018-01-01,10:10:00,2018-01-01,11:25:00,,Economy,D8,,,00:00:00,,00:00:00,,,,196.600,GBP,5HSOSL,"Norwegian Air Int",1
1752782,LGW,DXB,DEL,LGW,EK10,2018-01-01,20:25:00,2018-01-02,07:20:00,,Economy,EK,EK515,2018-01-20,21:25:00,2018-01-21,11:40:00,,Economy,EK,919.740,GBP,WLR6GI,Emirates,0
1742991,MAN,DXB,DEL,MAN,EK20,2018-01-01,20:35:00,2018-01-02,07:50:00,,Economy,EK,EK511,2018-01-20,10:35:00,2018-01-20,18:40:00,,Economy,EK,846.680,GBP,MOK6BH,Emirates,0
1752874,MAN,DXB,DEL,MAN,EK20,2018-01-01,20:35:00,2018-01-02,07:50:00,,Economy,EK,EK515,2018-01-20,21:25:00,2018-01-21,07:00:00,,Economy,EK,896.680,GBP,WOGSIZ,Emirates,0
1792838,MAN,DXB,DEL,MAN,EK22,2018-01-01,08:45:00,2018-01-01,19:45:00,,Economy,EK,EK511,2018-01-20,10:35:00,2018-01-20,18:40:00,,Economy,EK,914.080,GBP,JFB3KJ,Emirates,0
1782788,GLA,DXB,DEL,GLA,EK28,2018-01-01,13:00:00,2018-01-02,00:30:00,,Economy,EK,EK511,2018-01-20,10:35:00,2018-01-20,19:00:00,,Economy,EK,843.160,GBP,LNMLPN,Emirates,0
1782823,GLA,DXB,DEL,GLA,EK28,2018-01-01,13:00:00,2018-01-02,00:30:00,,Economy,EK,EK511,2018-01-20,10:35:00,2018-01-20,19:00:00,,Economy,EK,977.160,GBP,LPE5F4,Emirates,0
1625653,BHX,ZVJ,DEL,BHX,EK38,2018-01-01,20:45:00,2018-01-02,11:45:00,,Economy,EK,EK511,2018-01-20,10:35:00,2018-01-20,18:45:00,,Economy,EK,1129.560,GBP,4WQOD4,Emirates,0
