flightid,depcode,arrcode,depdate,arrdate,deptime,arrtime,depterminal,arrterminal,flightno,journey,class,bookingclass
1803064,GLA,LHR,2018-01-01,2018-01-01,08:55:00,10:25:00,,,BA1477,out,Economy,
1803064,LHR,AUH,2018-01-01,2018-01-02,13:20:00,00:35:00,,,BA73,out,Economy,
1803064,DEL,LHR,2018-01-20,2018-01-20,11:05:00,15:10:00,,,BA256,in,Economy,
1803064,LHR,GLA,2018-01-20,2018-01-20,17:05:00,18:30:00,,,BA1488,in,Economy,
1672415,SYD,HKG,2018-01-01,2018-01-01,11:25:00,17:50:00,,,CX162,out,Economy,
1672415,HKG,LHR,2018-01-02,2018-01-02,15:05:00,20:15:00,,,CX253,out,Economy,
1752782,DEL,DXB,2018-01-20,2018-01-20,21:25:00,23:55:00,,,EK515,in,Economy,
1752782,DXB,LGW,2018-01-21,2018-01-21,07:40:00,11:40:00,,,EK15,in,Economy,
1742991,DEL,DXB,2018-01-20,2018-01-20,10:35:00,13:00:00,,,EK511,in,Economy,
1742991,DXB,MAN,2018-01-20,2018-01-20,14:40:00,18:40:00,,,EK19,in,Economy,
1752874,DEL,DXB,2018-01-20,2018-01-20,21:25:00,23:55:00,,,EK515,in,Economy,
1752874,DXB,MAN,2018-01-21,2018-01-21,03:00:00,07:00:00,,,EK21,in,Economy,
1792838,DEL,DXB,2018-01-20,2018-01-20,10:35:00,13:00:00,,,EK511,in,Economy,
1792838,DXB,MAN,2018-01-20,2018-01-20,14:40:00,18:40:00,,,EK19,in,Economy,
1782788,DEL,DXB,2018-01-20,2018-01-20,10:35:00,13:00:00,,,EK511,in,Economy,
1782788,DXB,GLA,2018-01-20,2018-01-20,14:50:00,19:00:00,,,EK25,in,Economy,
1782823,DEL,DXB,2018-01-20,2018-01-20,10:35:00,13:00:00,,,EK511,in,Economy,
1782823,DXB,GLA,2018-01-20,2018-01-20,14:50:00,19:00:00,,,EK25,in,Economy,
1625653,BHX,DXB,2018-01-01,2018-01-02,20:45:00,07:40:00,,,EK38,out,Economy,
1625653,DXB,ZVJ,2018-01-02,2018-01-02,10:00:00,11:45:00,,,EK7007,out,Economy,
